# 120625-ubs8-nls32h-EZ-e1_1_Series001-right_1of3.csv
90.306,75.468,11.422
90.469,75.32,11.561
90.145,75.601,11.244
90.623,75.163,11.673
89.997,75.687,11.033
90.768,74.995,11.762
89.834,75.688,10.844
90.888,74.808,11.827
89.619,75.604,10.74
90.984,74.6,11.878
89.365,75.482,10.705
91.091,74.39,11.929
89.107,75.363,10.689
91.235,74.191,11.989
88.854,75.258,10.659
91.399,73.995,12.061
88.6,75.167,10.594
91.558,73.802,12.161
88.339,75.092,10.495
91.7,73.631,12.304
88.065,75.053,10.435
91.832,73.478,12.472
87.785,75.069,10.491
91.96,73.306,12.623
87.519,75.134,10.661
92.085,73.101,12.747
87.287,75.215,10.899
92.208,72.885,12.859
87.096,75.268,11.177
92.327,72.671,12.959
86.951,75.248,11.477
92.44,72.468,13.045
86.847,75.158,11.781
92.551,72.271,13.132
86.761,75.019,12.065
92.659,72.065,13.233
86.694,74.827,12.292
92.768,71.85,13.349
86.661,74.587,12.447
92.888,71.631,13.458
86.653,74.334,12.545
93.017,71.41,13.556
86.659,74.093,12.618
93.134,71.196,13.678
86.69,73.872,12.697
93.221,71.006,13.851
86.753,73.671,12.794
93.288,70.835,14.053
86.839,73.479,12.902
93.353,70.649,14.246
86.959,73.303,12.996
93.42,70.426,14.404
87.131,73.144,13.05
93.489,70.18,14.534
87.331,72.974,13.058
93.578,69.939,14.651
87.531,72.778,13.035
93.704,69.719,14.764
87.713,72.557,12.999
93.861,69.522,14.874
87.869,72.307,12.962
94.037,69.342,14.978
88.019,72.035,12.942
94.22,69.165,15.079
88.186,71.762,12.97
94.398,68.984,15.191
88.362,71.5,13.071
94.565,68.794,15.331
88.538,71.276,13.246
94.722,68.583,15.501
88.716,71.121,13.481
94.869,68.326,15.693
88.874,71.017,13.756
94.948,68.026,16.024
88.996,70.917,14.041
94.909,67.705,16.612
89.074,70.818,14.328
95.2,67.383,16.639
89.119,70.731,14.621
95.429,67.138,16.793
89.182,70.635,14.899
95.592,66.95,17.055
89.306,70.522,15.125
95.685,66.759,17.322
89.49,70.408,15.285
95.701,66.541,17.546
89.7,70.292,15.389
95.669,66.311,17.724
89.908,70.165,15.462
95.626,66.083,17.874
90.108,70.025,15.525
95.592,65.865,18.014
90.306,69.884,15.587
95.574,65.653,18.155
90.511,69.748,15.643
95.567,65.434,18.286
90.715,69.606,15.69
95.568,65.203,18.402
90.903,69.442,15.739
95.578,64.974,18.536
91.08,69.266,15.799
95.595,64.762,18.72
91.263,69.103,15.881
95.615,64.557,18.938
91.452,68.958,15.982
95.632,64.336,19.159
91.647,68.837,16.072
95.643,64.117,19.385
91.859,68.76,16.113
95.62,63.961,19.65
92.112,68.419,16.492
95.536,63.869,19.955
92.394,68.021,16.783
95.358,63.944,20.124
92.697,67.584,17.001
95.243,63.972,20.207
93.014,67.13,17.171
95.151,63.993,20.208
93.329,66.677,17.353
95.044,64.06,20.156
93.604,66.281,17.654
94.912,64.174,20.058
93.818,65.963,18.093
94.763,64.307,19.91
93.917,65.752,18.264
94.624,64.464,19.73
93.997,65.58,18.481
94.501,64.644,19.539
94.079,65.429,18.724
94.377,64.829,19.341
94.17,65.247,18.947
94.265,65.032,19.145
