Frame	X1	Y1	Flag1
Tracks 1 to 1
1	496.4925	191.71078	 
2	496.22324	182.6591	 
3	495.4886	175.12698	 
4	492.41486	168.80322	 
5	490.38315	163.9233	 
6	490.32657	162.00577	 
7	490.60873	163.70016	 
8	490.98087	164.81895	 
9	491.2323	164.98068	 
10	491.8168	165.25655	 
11	491.83575	165.96228	 
12	491.62045	165.72424	 
13	491.4702	164.97748	 
14	491.53726	163.25363	 
15	491.7172	160.44997	 
16	492.18134	157.05194	 
17	493.99255	150.35387	 
18	496.37598	143.94853	 
19	499.37756	135.15054	 
20	502.42792	126.40748	 
21	506.2396	116.3731	 
22	509.36185	108.14825	 
23	512.4036	102.36849	 
24	517.49304	97.473114	 
25	519.6195	96.06307	 
26	521.93994	95.07464	 
27	521.9782	95.35551	 
28	522.2827	95.59193	 
29	522.7404	96.060394	 
30	521.295	98.56138	 
31	520.10376	101.182755	 
32	519.8279	104.24087	 
33	518.8823	108.15686	 
34	519.8486	111.14653	 
35	521.0214	113.90452	 
36	522.2885	116.75627	 
37	530.44104	123.06555	 
38	529.37396	124.12641	 
39	535.3856	130.58548	 
40	543.2113	138.08679	 
41	548.5641	144.00201	 
42	551.53687	149.33029	 
43	552.6249	154.3774	 
44	553.00684	156.96199	 
45	552.44495	158.76031	 
46	550.9707	157.20663	 
47	548.8613	154.6954	 
48	546.7063	152.60468	 
49	545.3029	151.43695	 
50	543.8447	151.05984	 
51	542.6826	151.00565	 
52	542.205	150.88324	 
53	541.6338	150.78566	 
54	541.2523	151.05655	 
55	541.083	151.26895	 
56	540.8862	151.17435	 
57	541.9497	151.51807	 
58	542.91364	151.46324	 
59	543.52716	148.7495	 
60	545.26373	147.32738	 
61	546.5187	146.86252	 
62	546.7846	146.42564	 
63	547.5092	146.21649	 
64	547.97626	146.07288	 
65	547.8684	145.87485	 
66	547.01917	145.51276	 
67	544.61414	144.55685	 
68	542.8177	143.59424	 
69	542.2265	143.03932	 
70	543.1632	144.22989	 
71	544.1496	144.75296	 
72	544.1555	143.62827	 
73	543.80096	142.07826	 
74	543.9296	142.50842	 
75	543.93054	143.3102	 
76	545.4001	145.33495	 
77	548.0643	147.80286	 
78	549.6024	149.1334	 
79	549.8712	149.8308	 
80	549.53845	149.79819	 
81	549.20966	148.20447	 
82	545.24915	144.16565	 
83	539.1728	138.4719	 
84	536.5825	135.09558	 
85	534.8249	133.0532	 
86	533.27856	130.30452	 
87	530.5863	129.41992	 
88	528.35345	129.08665	 
89	524.7	131.38548	 
90	520.5647	133.78883	 
91	515.82465	136.98468	 
92	511.25214	141.40208	 
93	505.73056	146.63686	 
94	498.02866	151.07066	 
95	486.974	153.66106	 
96	475.07126	155.18575	 
97	463.77747	156.45421	 
98	452.56592	158.49408	 
99	446.21866	159.35626	 
100	446.1062	159.63297	 
101	449.0992	159.34285	 
102	454.64932	158.41382	 
103	458.15634	155.88095	 
104	460.763	152.58232	 
105	463.68323	148.73605	 
106	464.7925	144.77266	 
107	465.24844	141.23518	 
108	463.8978	137.8212	 
109	461.92032	131.57042	 
110	459.79483	123.776215	 
111	456.72653	117.777534	 
112	453.13443	111.50989	 
113	449.81204	104.170975	 
114	447.60812	97.005646	 
115	445.3168	90.09932	 
116	441.6982	84.76675	 
117	438.01297	80.35185	 
118	437.35648	76.36301	 
119	437.62918	75.53026	 
120	439.03488	76.697464	 
121	440.37354	78.65264	 
122	441.01984	79.63099	 
123	442.2554	81.3665	 
124	443.12747	83.02864	 
125	443.2008	82.59432	 
126	442.78665	81.6874	 
127	442.62106	81.14628	 
128	442.43433	80.605675	 
129	443.2813	80.359955	 
