Frame	X1	Y1	Flag1
Tracks 1 to 1
1	56.098724	318.44894	 
2	59.975834	318.03766	 
3	63.62964	319.66074	 
4	63.490955	321.14206	 
5	63.241474	320.4494	 
6	64.77097	318.64697	 
7	64.89476	317.19553	 
8	65.62896	315.91345	 
9	67.37878	314.52896	 
10	68.8264	312.04095	 
11	69.49724	308.688	 
12	69.25431	304.00076	 
13	69.29464	299.6532	 
14	69.79551	294.79175	 
15	69.439995	291.13092	 
16	69.46325	287.80725	 
17	68.85892	283.4434	 
18	68.91901	278.7052	 
19	71.295265	274.37555	 
20	74.6801	270.09033	 
21	77.912964	264.92288	 
22	81.1183	258.95322	 
23	82.88842	252.65427	 
24	83.88022	245.74979	 
25	83.94049	239.49341	 
26	85.527435	234.63861	 
27	86.18136	229.86214	 
28	87.5164	227.42604	 
29	87.620514	227.19379	 
30	86.70055	228.90138	 
31	85.94389	231.35255	 
32	85.57985	233.41426	 
33	84.97251	236.28201	 
34	84.86459	237.30217	 
35	84.759476	238.13647	 
36	84.70843	238.344	 
37	84.88264	236.68369	 
38	84.81594	234.95193	 
39	84.231674	233.0675	 
40	83.23179	230.00586	 
41	83.06469	226.53363	 
42	82.67322	222.2666	 
43	81.46763	217.5719	 
44	80.2359	211.97047	 
45	77.614456	204.61137	 
46	76.2184	198.24695	 
47	74.80773	191.11446	 
48	72.63375	182.58376	 
49	71.75925	176.03911	 
50	68.20939	168.66403	 
51	62.938587	160.29408	 
52	58.052925	152.98712	 
53	54.01497	145.92339	 
54	50.225166	137.12634	 
55	50.004856	130.97389	 
56	50.24361	125.67038	 
57	48.092293	120.12637	 
58	46.404095	115.16148	 
59	44.661858	109.16301	 
60	43.859077	100.95866	 
61	44.21552	92.30112	 
62	43.811424	82.87407	 
63	42.343884	75.2001	 
64	40.969776	70.12836	 
65	39.36726	67.7717	 
66	38.58545	66.61603	 
67	37.73938	65.846405	 
68	37.58725	65.8147	 
69	37.440086	65.454056	 
70	38.279255	68.10878	 
71	40.0654	70.91572	 
72	40.79667	75.39748	 
73	41.357536	77.34952	 
74	41.77925	80.06951	 
75	41.680874	81.60944	 
76	42.566418	83.20488	 
77	43.273083	85.69485	 
78	44.65133	86.38975	 
79	46.894497	87.33689	 
80	49.934044	88.5543	 
81	51.351673	90.78621	 
82	52.278416	91.11778	 
83	52.89428	91.2176	 
