Frame	X1	Y1	Flag1
Tracks 1 to 1
1	563.5068	517.9989	 
2	561.9474	519.08997	 
3	559.9227	520.8307	 
4	559.4303	522.0614	 
5	559.37756	523.10565	 
6	560.35815	524.0092	 
7	560.7258	524.2765	 
8	560.99774	524.43353	 
9	560.70044	524.2408	 
10	558.9206	523.2455	 
11	556.9637	522.5513	 
12	555.37585	521.78265	 
13	553.3642	520.88324	 
14	553.0692	520.3454	 
15	553.52405	520.782	 
16	553.599	521.4823	 
17	554.2054	522.35236	 
18	555.2661	522.8427	 
19	555.33954	522.69434	 
20	556.1535	521.7503	 
21	555.6033	521.0777	 
22	554.66345	520.3043	 
23	550.0309	519.0309	 
24	551.31335	518.75104	 
25	544.7502	517.6255	 
26	538.20703	514.8756	 
27	533.0855	511.56714	 
28	528.65094	510.46677	 
29	525.49146	509.86096	 
30	523.4745	509.0645	 
31	522.1291	508.64948	 
32	520.9016	508.17548	 
33	520.27527	508.42087	 
34	520.15125	507.94174	 
35	517.63904	508.4867	 
36	514.3809	506.2678	 
37	510.94202	504.6156	 
38	506.82877	505.29648	 
39	502.1197	507.38184	 
40	498.21402	509.35565	 
41	493.7676	510.91068	 
42	488.14297	512.55585	 
43	481.4888	514.28467	 
44	474.04398	514.8892	 
45	465.00885	513.9167	 
46	456.66788	511.79654	 
47	449.5315	510.69598	 
48	442.8732	509.66415	 
49	434.94598	507.983	 
50	428.8617	505.40045	 
51	424.13675	500.8039	 
52	419.85095	495.9395	 
53	414.15424	489.92517	 
54	410.46436	482.76385	 
55	405.2393	474.8772	 
56	401.44522	466.5609	 
57	397.5457	458.13098	 
58	392.55682	449.4325	 
59	385.3584	440.65402	 
60	377.5518	432.45444	 
61	370.59818	425.74023	 
62	361.52518	417.4223	 
63	354.84308	410.13254	 
64	347.60715	402.9787	 
65	342.35416	396.41077	 
66	333.4786	391.03787	 
67	326.89206	383.45132	 
68	320.39575	374.4878	 
69	315.60663	366.76718	 
70	313.39023	360.43564	 
71	308.03104	353.02237	 
72	304.618	346.14804	 
73	301.0	335.67633	 
74	300.8288	326.8185	 
75	300.67493	319.07947	 
76	300.41666	312.8276	 
77	296.6592	305.94763	 
78	296.66605	300.22986	 
79	294.00067	292.54126	 
80	294.65906	289.07617	 
81	295.22122	286.75372	 
82	293.48947	287.39636	 
83	289.81223	286.34705	 
84	286.66415	284.54605	 
85	279.37833	279.2807	 
86	271.94983	272.59082	 
87	263.42984	264.26343	 
88	255.56917	255.51517	 
89	245.09265	245.28091	 
90	233.7871	233.54118	 
91	223.95998	223.93887	 
92	214.31512	214.39563	 
93	204.1138	202.96565	 
94	196.5	193.2041	 
95	186.727	183.28506	 
96	177.94945	174.56815	 
97	170.44824	164.66928	 
98	163.86578	156.01991	 
99	156.98932	146.2457	 
100	149.35287	137.11754	 
101	142.10434	128.62222	 
102	134.7482	122.1174	 
103	131.04736	118.695	 
104	127.904625	115.78942	 
105	128.1264	115.05538	 
106	130.25932	116.06754	 
107	132.31514	117.76264	 
108	134.36307	119.70421	 
109	135.93468	122.38752	 
110	138.67622	126.76165	 
111	139.36891	130.66478	 
112	140.55424	135.30511	 
113	142.22775	140.3746	 
114	143.85036	142.75638	 
115	143.87267	143.5618	 
116	144.65382	145.09909	 
117	145.04178	145.93668	 
118	146.24529	146.69434	 
119	148.24443	147.65591	 
120	151.28459	149.51572	 
121	149.33913	152.11835	 
122	149.2788	154.5659	 
123	147.75305	155.74911	 
124	146.22935	156.62257	 
125	144.02786	157.72948	 
126	143.17189	159.10062	 
127	140.46814	160.23769	 
128	140.93376	160.97581	 
129	142.99811	162.49051	 
130	142.18729	164.96483	 
131	143.12187	166.68561	 
132	141.59607	170.09334	 
133	141.19495	173.02948	 
134	141.95871	173.09572	 
135	141.60802	172.29819	 
136	143.34871	170.3581	 
137	145.54495	168.42982	 
138	146.38701	166.80318	 
139	145.48402	166.48434	 
140	143.92104	166.52733	 
141	142.59059	167.31195	 
142	140.82227	168.36266	 
143	140.10437	169.97218	 
144	140.7646	170.9377	 
145	141.72476	172.13911	 
146	141.26201	173.77348	 
147	138.69942	174.98622	 
148	134.98279	175.14421	 
149	131.58202	175.60582	 
150	127.28281	178.2851	 
151	121.716705	181.90308	 
152	115.13149	183.97815	 
153	108.101105	185.24654	 
154	98.04894	186.50958	 
155	88.36102	188.83157	 
156	78.337006	193.93324	 
157	65.79585	200.8407	 
158	59.36067	203.952	 
159	54.99399	205.12547	 
160	50.788105	205.66568	 
161	46.320393	207.47786	 
162	44.678177	210.4794	 
163	43.315178	213.55545	 
164	43.494667	214.83922	 
165	42.02907	217.17917	 
166	41.415524	219.45755	 
167	41.142063	221.05713	 
168	40.151184	221.3862	 
169	39.777103	221.21823	 
170	39.8735	220.96376	 
171	39.138214	220.97792	 
172	39.113327	220.8039	 
173	39.33925	220.7221	 
174	39.37818	220.9364	 
175	40.322304	220.95966	 
176	40.917496	219.75456	 
177	42.130203	217.38803	 
178	43.296303	215.39882	 
179	42.786736	215.40639	 
180	42.95253	215.77228	 
181	43.465603	216.72089	 
182	42.295788	218.11642	 
183	39.38162	220.02647	 
184	35.88572	221.79486	 
185	33.995983	222.45633	 
186	31.980822	222.92032	 
187	27.72673	224.36456	 
188	26.900768	225.43086	 
189	27.134192	225.2027	 
190	28.225302	224.32831	 
191	28.42183	223.63028	 
192	28.527918	222.342	 
193	29.768438	221.36118	 
194	30.943747	219.78206	 
195	30.311691	219.43947	 
196	29.550196	220.06218	 
197	26.334433	220.41661	 
198	24.609861	220.87128	 
199	23.846125	221.91846	 
200	23.626133	222.5506	 
201	23.196714	223.67723	 
202	23.075506	224.64426	 
203	22.122324	225.87767	 
204	20.76938	226.99725	 
205	20.136724	227.27583	 
206	20.799303	226.95708	 
207	20.799131	227.12904	 
208	20.283094	227.3772	 
209	20.330357	227.40341	 
210	21.109364	227.45164	 
211	22.881792	227.01799	 
212	25.840338	224.60683	 
213	30.634415	220.0019	 
214	33.997364	217.343	 
215	38.47386	214.49713	 
216	46.442894	213.70982	 
217	57.275394	211.9347	 
218	67.27274	207.91151	 
219	73.43509	205.98662	 
220	79.97753	204.35785	 
221	83.31868	202.98587	 
222	85.49162	202.8827	 
223	85.88778	202.79393	 
224	85.86693	204.6325	 
225	86.19102	205.38408	 
226	85.77621	205.56505	 
227	84.18349	204.43187	 
228	82.72675	202.78073	 
229	80.58464	200.33473	 
230	79.66102	198.71773	 
231	79.03525	198.01665	 
232	78.79288	197.06905	 
233	78.58919	197.31293	 
234	78.27316	198.67137	 
235	79.62496	201.55489	 
236	81.7869	204.53429	 
237	86.6616	207.3121	 
238	91.09401	208.24606	 
239	95.745674	207.5137	 
240	100.85703	203.20137	 
241	104.925446	198.89903	 
242	107.050835	195.407	 
243	110.53728	192.1213	 
244	112.14972	189.02914	 
245	113.26645	185.89441	 
246	115.605705	183.286	 
247	120.3347	181.95883	 
248	126.07005	181.82703	 
249	131.91443	180.27159	 
250	140.11021	177.62389	 
251	148.69562	173.30019	 
252	158.97136	171.68912	 
253	171.02872	170.59041	 
254	184.49498	170.34137	 
255	196.3755	168.89835	 
256	208.21895	167.06824	 
257	220.87903	165.70775	 
258	235.03638	166.85846	 
259	248.15036	168.53859	 
260	262.3244	170.39046	 
261	275.52042	171.6448	 
262	288.3381	174.29446	 
263	302.0159	177.11705	 
264	312.65656	179.28703	 
265	324.8687	178.70355	 
