Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
122	17.001278	64.790924	 	 	 	 	 	 	 
123	17.610304	68.07365	 	 	 	 	 	 	 
124	18.66935	72.86821	 	 	 	 	 	 	 
125	20.024061	79.29532	 	 	 	 	 	 	 
126	21.605282	86.59514	 	 	 	 	 	 	 
127	24.537548	92.365746	 	 	 	 	 	 	 
128	26.619793	95.739586	 	 	 	 	 	 	 
129	28.524275	97.21522	 	 	 	 	 	 	 
130	30.97523	97.58599	 	 	 	 	 	 	 
131	34.215443	98.99138	 	 	 	 	 	 	 
132	40.374035	101.405945	 	 	 	 	 	 	 
133	48.527336	104.20152	 	 	 	 	 	 	 
134	62.476707	105.99713	 	 	 	 	 	 	 
135	80.85461	108.27304	 	 	 	 	 	 	 
136	93.67175	109.60709	 	 	 	 	 	 	 
137	106.32357	111.62275	 	 	 	 	 	 	 
138	118.70032	114.91184	 	 	 	 	 	 	 
139	131.42093	118.82908	 	 	 	 	 	 	 
140	150.41187	125.336365	 	 	 	 	 	 	 
141	172.27461	130.83484	 	 	 	 	 	 	 
142	191.37006	134.83418	 	 	 	 	 	 	 
143	208.41478	137.22878	 	 	 	 	 	 	 
144	226.02126	137.33765	 	 	 	 	 	 	 
145	244.19864	135.5071	 	 	 	 	 	 	 
146	263.56766	133.19194	 	 	 	 	 	 	 
147	281.68216	131.76819	 	 	 	 	 	 	 
148	301.4634	131.43073	 	 	 	 	 	 	 
149	322.44873	128.95624	 	 	 	 	 	 	 
150	339.10785	125.71471	 	 	 	 	 	 	 
151	359.16385	121.29253	 	 	 	 	 	 	 
152	374.26523	119.97483	 	 	 	 	 	 	 
153	391.772	118.309525	 	 	 	 	 	 	 
154	412.5583	112.58316	 	 	 	 	 	 	 
155	431.89923	105.85672	 	 	 	 	 	 	 
156	446.7561	98.73616	 	 	 	 	 	 	 
157	459.4351	92.275894	 	 	 	 	 	 	 
158	471.41882	84.77945	 	 	 	 	 	 	 
159	482.34998	76.62865	 	 	 	 	 	 	 
160	492.9119	67.38881	 	 	 	 	 	 	 
161	501.86978	59.378235	 	 	 	 	 	 	 
162	509.0079	54.817623	 	 	 	 	 	 	 
163	516.5042	51.529278	 	 	 	 	 	 	 
164	520.7836	50.359715	 	 	 	 	 	 	 
165	522.0114	49.951626	 	 	 	 	 	 	 
166	521.65454	50.05294	 	 	 	 	 	 	 
167	519.59985	49.891125	 	 	 	 	 	 	 
168	518.3819	49.58528	 	 	 	 	 	 	 
169	517.7811	49.6458	 	 	 	 	 	 	 
170	519.26	49.158432	 	 	 	 	 	 	 
171	522.3501	48.723362	 	 	 	 	 	 	 
172	527.5066	46.791637	 	 	 	 	 	 	 
173	534.24854	43.645863	 	 	 	 	 	 	 
174	540.52057	40.01063	 	 	 	 	 	 	 
175	542.1815	38.44417	 	 	 	 	 	 	 
176	543.1227	37.17392	 	 	 	 	 	 	 
