Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
99	69.95181	20.718384	 	 	 	 	 	 	 	 	 	 
100	75.24413	21.772066	 	 	 	 	 	 	 	 	 	 
101	81.96293	22.344133	 	 	 	 	 	 	 	 	 	 
102	85.68115	22.580166	 	 	 	 	 	 	 	 	 	 
103	94.88299	21.595636	 	 	 	 	 	 	 	 	 	 
104	100.34828	21.90058	 	 	 	 	 	 	 	 	 	 
105	106.00786	21.552511	 	 	 	 	 	 	 	 	 	 
106	109.449425	21.812052	 	 	 	 	 	 	 	 	 	 
107	110.535385	22.994638	 	 	 	 	 	 	 	 	 	 
108	109.20025	23.932423	 	 	 	 	 	 	 	 	 	 
109	106.60085	24.73409	 	 	 	 	 	 	 	 	 	 
110	106.392494	25.105076	 	 	 	 	 	 	 	 	 	 
111	110.26571	24.80245	 	 	 	 	 	 	 	 	 	 
112	115.23215	25.768896	 	 	 	 	 	 	 	 	 	 
113	122.15636	27.552355	 	 	 	 	 	 	 	 	 	 
114	128.77408	29.117367	 	 	 	 	 	 	 	 	 	 
115	138.43462	31.544735	 	 	 	 	 	 	 	 	 	 
116	150.91263	33.80709	 	 	 	 	 	 	 	 	 	 
117	162.86778	34.185795	 	 	 	 	 	 	 	 	 	 
118	177.43538	34.731693	 	 	 	 	 	 	 	 	 	 
119	193.01674	36.916275	 	 	 	 	 	 	 	 	 	 
120	208.8232	39.619892	 	 	 	 	 	 	 	 	 	 
121	223.76608	42.184246	 	 	 	 	 	 	 	 	 	 
122	236.4301	42.56583	 	 	 	 	 	 	 	 	 	 
123	248.23314	42.72586	 	 	 	 	 	 	 	 	 	 
124	259.37042	42.664486	 	 	 	 	 	 	 	 	 	 
125	270.245	42.644115	 	 	 	 	 	 	 	 	 	 
126	280.28693	44.964024	 	 	 	 	 	 	 	 	 	 
127	289.46606	45.227016	 	 	 	 	 	 	 	 	 	 
128	297.38998	45.48594	 	 	 	 	 	 	 	 	 	 
129	305.10306	45.706112	 	 	 	 	 	 	 	 	 	 
130	311.70184	48.757317	 	 	 	 	 	 	 	 	 	 
131	318.46515	53.421078	 	 	 	 	 	 	 	 	 	 
132	326.75458	60.244053	 	 	 	 	 	 	 	 	 	 
133	336.4807	64.96374	 	 	 	 	 	 	 	 	 	 
134	346.22238	68.73113	 	 	 	 	 	 	 	 	 	 
135	357.31537	72.455284	 	 	 	 	 	 	 	 	 	 
136	367.8957	76.34248	 	 	 	 	 	 	 	 	 	 
137	380.33994	80.44357	 	 	 	 	 	 	 	 	 	 
138	395.099	86.502144	 	 	 	 	 	 	 	 	 	 
139	409.89093	91.58049	 	 	 	 	 	 	 	 	 	 
140	423.74445	96.05482	 	 	 	 	 	 	 	 	 	 
141	438.39334	102.05096	 	 	 	 	 	 	 	 	 	 
142	453.81674	109.06047	 	 	 	 	 	 	 	 	 	 
143	468.4294	117.4973	 	 	 	 	 	 	 	 	 	 
144	483.1426	125.89539	 	 	 	 	 	 	 	 	 	 
145	496.31537	133.10564	 	 	 	 	 	 	 	 	 	 
146	507.44827	141.03368	 	 	 	 	 	 	 	 	 	 
147	517.4263	151.42325	 	 	 	 	 	 	 	 	 	 
148	526.1099	162.82855	 	 	 	 	 	 	 	 	 	 
149	536.03156	171.85698	 	 	 	 	 	 	 	 	 	 
150	547.5056	180.98877	 	 	 	 	 	 	 	 	 	 
151	553.886	187.32896	 	 	 	 	 	 	 	 	 	 
152	555.3099	191.1808	 	 	 	 	 	 	 	 	 	 
153	554.46277	194.71188	 	 	 	 	 	 	 	 	 	 
154	554.8156	198.62363	 	 	 	 	 	 	 	 	 	 
155	555.92523	201.76408	 	 	 	 	 	 	 	 	 	 
156	557.18036	204.01785	 	 	 	 	 	 	 	 	 	 
157	555.71893	204.74614	 	 	 	 	 	 	 	 	 	 
158	554.978	205.20988	 	 	 	 	 	 	 	 	 	 
159	555.44684	205.73787	 	 	 	 	 	 	 	 	 	 
160	557.5665	207.26373	 	 	 	 	 	 	 	 	 	 
161	560.5032	210.14742	 	 	 	 	 	 	 	 	 	 
162	562.5974	214.61513	 	 	 	 	 	 	 	 	 	 
163	563.43274	220.43802	 	 	 	 	 	 	 	 	 	 
164	563.85425	222.3497	 	 	 	 	 	 	 	 	 	 
165	564.57635	222.85735	 	 	 	 	 	 	 	 	 	 
166	565.1016	223.3561	 	 	 	 	 	 	 	 	 	 
167	565.4691	223.21227	 	 	 	 	 	 	 	 	 	 
168	566.2656	222.32498	 	 	 	 	 	 	 	 	 	 
169	566.8592	221.04294	 	 	 	 	 	 	 	 	 	 
170	568.4351	220.31801	 	 	 	 	 	 	 	 	 	 
171	569.0017	219.55792	 	 	 	 	 	 	 	 	 	 
172	568.87396	218.59906	 	 	 	 	 	 	 	 	 	 
173	570.00726	217.75484	 	 	 	 	 	 	 	 	 	 
174	571.15424	216.55705	 	 	 	 	 	 	 	 	 	 
175	572.7905	214.15355	 	 	 	 	 	 	 	 	 	 
176	574.325	213.08392	 	 	 	 	 	 	 	 	 	 
177	575.13794	212.11295	 	 	 	 	 	 	 	 	 	 
178	576.33	211.00887	 	 	 	 	 	 	 	 	 	 
179	580.88416	208.33517	 	 	 	 	 	 	 	 	 	 
180	589.9103	198.44627	 	 	 	 	 	 	 	 	 	 
181	593.0592	191.7	 	 	 	 	 	 	 	 	 	 
182	591.82874	181.11314	 	 	 	 	 	 	 	 	 	 
183	589.3585	172.37927	 	 	 	 	 	 	 	 	 	 
184	584.3933	169.15462	 	 	 	 	 	 	 	 	 	 
185	578.39685	166.89183	 	 	 	 	 	 	 	 	 	 
186	575.4073	162.22426	 	 	 	 	 	 	 	 	 	 
187	573.56647	157.9175	 	 	 	 	 	 	 	 	 	 
188	572.2574	154.91203	 	 	 	 	 	 	 	 	 	 
189	569.7897	152.15341	 	 	 	 	 	 	 	 	 	 
190	567.8987	150.4836	 	 	 	 	 	 	 	 	 	 
191	564.6596	149.66594	 	 	 	 	 	 	 	 	 	 
192	561.67456	149.77686	 	 	 	 	 	 	 	 	 	 
193	560.34045	150.30238	 	 	 	 	 	 	 	 	 	 
194	557.6337	150.55263	 	 	 	 	 	 	 	 	 	 
195	551.34235	151.66899	 	 	 	 	 	 	 	 	 	 
196	550.75714	151.74861	 	 	 	 	 	 	 	 	 	 
197	551.03076	152.01698	 	 	 	 	 	 	 	 	 	 
198	555.6969	151.42557	 	 	 	 	 	 	 	 	 	 
199	556.322	151.89621	 	 	 	 	 	 	 	 	 	 
200	556.7288	152.11102	 	 	 	 	 	 	 	 	 	 
201	557.6615	152.08075	 	 	 	 	 	 	 	 	 	 
202	557.3738	152.0002	 	 	 	 	 	 	 	 	 	 
203	557.3032	151.885	 	 	 	 	 	 	 	 	 	 
204	557.9633	151.44576	 	 	 	 	 	 	 	 	 	 
205	558.12085	151.45409	 	 	 	 	 	 	 	 	 	 
206	558.0769	151.3349	 	 	 	 	 	 	 	 	 	 
207	558.06213	151.27538	 	 	 	 	 	 	 	 	 	 
208	558.3608	151.0771	 	 	 	 	 	 	 	 	 	 
209	558.5689	150.71896	 	 	 	 	 	 	 	 	 	 
210	559.0839	149.99483	 	 	 	 	 	 	 	 	 	 
211	559.95593	149.10254	 	 	 	 	 	 	 	 	 	 
212	560.43713	148.63553	 	 	 	 	 	 	 	 	 	 
213	557.12134	148.10374	 	 	 	 	 	 	 	 	 	 
214	557.2186	146.05933	 	 	 	 	 	 	 	 	 	 
215	557.10425	143.51001	 	 	 	 	 	 	 	 	 	 
216	556.7798	140.44696	 	 	 	 	 	 	 	 	 	 
217	556.2577	136.31703	 	 	 	 	 	 	 	 	 	 
218	555.25934	129.57283	 	 	 	 	 	 	 	 	 	 
219	553.0014	121.9548	 	 	 	 	 	 	 	 	 	 
220	550.2105	112.80337	 	 	 	 	 	 	 	 	 	 
221	545.66974	103.496284	 	 	 	 	 	 	 	 	 	 
222	539.06683	93.196106	 	 	 	 	 	 	 	 	 	 
223	532.3566	83.82255	 	 	 	 	 	 	 	 	 	 
224	528.31604	72.6956	 	 	 	 	 	 	 	 	 	 
225	522.2337	60.17	 	 	 	 	 	 	 	 	 	 
226	515.63293	53.722927	 	 	 	 	 	 	 	 	 	 
227	511.81384	53.049297	 	 	 	 	 	 	 	 	 	 
228	509.65338	51.32395	 	 	 	 	 	 	 	 	 	 
229	508.3321	47.21718	 	 	 	 	 	 	 	 	 	 
230	504.04678	42.02178	 	 	 	 	 	 	 	 	 	 
231	502.03253	44.773132	 	 	 	 	 	 	 	 	 	 
232	499.59396	44.4605	 	 	 	 	 	 	 	 	 	 
233	496.16943	41.28018	 	 	 	 	 	 	 	 	 	 
234	493.73993	40.387207	 	 	 	 	 	 	 	 	 	 
235	490.9914	39.264107	 	 	 	 	 	 	 	 	 	 
236	488.62558	38.4808	 	 	 	 	 	 	 	 	 	 
237	488.4023	41.0456	 	 	 	 	 	 	 	 	 	 
238	485.46817	42.16331	 	 	 	 	 	 	 	 	 	 
239	478.2543	39.727234	 	 	 	 	 	 	 	 	 	 
240	469.9172	38.13893	 	 	 	 	 	 	 	 	 	 
241	463.78488	36.793083	 	 	 	 	 	 	 	 	 	 
242	458.47412	35.680023	 	 	 	 	 	 	 	 	 	 
