Frame	X1	Y1	Flag1
Tracks 1 to 1
1	423.0242	56.40987	 
2	423.7066	55.804394	 
3	423.05548	56.64593	 
4	423.7332	55.79251	 
5	425.71802	53.972305	 
6	427.71375	52.21132	 
7	429.5752	50.953667	 
8	431.5511	49.16748	 
9	432.63376	49.05616	 
10	431.98505	52.75644	 
11	431.90784	54.17654	 
12	434.19498	53.13487	 
13	438.39868	50.91028	 
14	443.83948	49.826267	 
15	448.04666	50.217434	 
16	450.64914	50.33075	 
17	452.5927	50.484116	 
18	453.74472	51.363754	 
19	457.74564	53.559227	 
20	461.27106	56.017857	 
21	465.40292	58.611954	 
22	473.032	62.737232	 
23	482.2888	65.34666	 
24	492.91498	68.348564	 
25	501.8559	72.220345	 
26	509.4828	77.77045	 
27	514.6785	83.99188	 
28	518.1144	88.70459	 
29	522.44696	93.15793	 
30	527.8891	99.42043	 
31	534.25793	109.34886	 
32	542.02655	121.15148	 
33	548.99097	134.25262	 
34	553.8067	141.14162	 
35	564.1801	150.10173	 
36	567.27246	152.61028	 
37	568.85394	155.93939	 
38	568.19934	159.13213	 
39	566.8644	160.17152	 
40	566.3693	161.00511	 
41	558.58936	157.2557	 
42	554.4919	155.5415	 
43	552.3606	156.74936	 
44	549.0675	156.92062	 
45	548.10986	160.97366	 
46	546.8143	165.36221	 
47	546.39874	171.85551	 
48	545.71375	177.95172	 
49	546.2535	183.50526	 
50	543.9919	192.74165	 
51	539.9535	200.8196	 
52	532.699	215.02632	 
53	527.3536	223.4431	 
54	522.8564	237.49849	 
55	519.39923	252.27519	 
56	511.50082	270.28485	 
57	507.32184	283.348	 
58	504.0797	291.51025	 
59	502.34802	296.0598	 
60	504.22125	295.13672	 
61	507.90668	291.5	 
62	509.37158	289.91037	 
63	510.22473	290.7599	 
64	510.6819	293.44867	 
65	513.1462	297.36636	 
66	516.3466	302.36533	 
67	520.15594	309.8267	 
68	524.8161	319.88287	 
69	528.81744	327.2057	 
70	535.2262	334.67712	 
71	542.01587	338.78406	 
72	549.1308	341.9327	 
73	545.89795	340.1647	 
74	543.8634	341.4272	 
75	541.9788	340.7351	 
76	541.7307	341.5407	 
77	540.1356	341.68982	 
78	539.2312	341.91324	 
79	540.2936	345.9906	 
80	540.9242	349.86685	 
81	543.2252	358.8013	 
82	545.46326	366.59924	 
83	548.6493	375.49948	 
84	550.3123	379.9898	 
85	549.39996	381.78085	 
86	544.0465	384.1582	 
87	538.00525	387.1807	 
88	533.41284	395.67407	 
89	528.175	407.42026	 
90	521.00165	421.2819	 
91	515.38995	431.45242	 
92	507.73596	441.1022	 
93	501.35294	449.72433	 
94	496.21634	460.19717	 
95	489.18723	473.6231	 
96	480.59998	485.48892	 
97	473.02524	496.1433	 
98	466.08383	505.78146	 
99	461.0293	516.40564	 
100	449.1908	527.8358	 
101	439.5522	536.2405	 
102	431.38235	540.88617	 
103	424.87628	547.7561	 
104	419.80124	553.3379	 
105	417.05643	555.9994	 
106	418.73975	556.40234	 
107	421.8306	556.2923	 
